name                                                                                                                                                                               |  rows    
Emerson Electric Co. Responsible Government Fund                                                                                                                                   |  502     
Pharmaceutical Research & Manufacturers of America Better Government Committee                                                                                                     |  502     
ALLIED PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                               |  501     
BALCH AND BINGHAM LLP FEDERAL POLITICAL COMMITTEE                                                                                                                                  |  501     
Marsh & McLennan Companies, Inc. PAC (MMCPAC)                                                                                                                                      |  501     
North American Meat Institute Political Action Committee                                                                                                                           |  501     
KOVACH FOR CONGRESS INC                                                                                                                                                            |  500     
Texas Freedom Fund                                                                                                                                                                 |  500     
Crabtree for Congress                                                                                                                                                              |  499     
National Association of Realtors Congressional Fund                                                                                                                                |  498     
NICK TROIANO FOR CONGRESS                                                                                                                                                          |  498     
QUALCOMM INCORPORATED POLITICAL ACTION COMMITTEE (QPAC)                                                                                                                            |  498     
Serrano for Congress                                                                                                                                                               |  497     
BUCKEYE PATRIOT POLITICAL ACTION COMMITTEE                                                                                                                                         |  496     
Ecolab Inc. Political Action Committee                                                                                                                                             |  496     
FAIR SHARE ACTION                                                                                                                                                                  |  496     
Jobs and Innovation Matter PAC (JIM PAC)                                                                                                                                           |  496     
KIRK ADAMS FOR CONGRESS                                                                                                                                                            |  496     
BURGER KING Franchisee PAC                                                                                                                                                         |  495     
Stop Hillary PAC                                                                                                                                                                   |  495     
TEA PARTY MAJORITY FUND                                                                                                                                                            |  494     
Mike Frese For Congress                                                                                                                                                            |  493     
Ameriprise Financial Inc. PAC (Ameriprise PAC)                                                                                                                                     |  491     
JEFF PAC                                                                                                                                                                           |  490     
The Western Way PAC                                                                                                                                                                |  489     
Praxair, Inc. Political Action Committee                                                                                                                                           |  488     
General Mills Inc. Political Action Committee                                                                                                                                      |  487     
LaHood for Congress                                                                                                                                                                |  487     
Westfield Federal Employee Political Action Committee of Ohio Farmers Insurance Company                                                                                            |  487     
Zurich Holding Company Of America Committee For Good Government (Z-PAC)                                                                                                            |  487     
SMITHFIELD FOODS INC POLITICAL ACTION COMMITTEE (HAMPAC)                                                                                                                           |  486     
TW TELECOM INC. POLITICAL ACTION COMMITTEE                                                                                                                                         |  486     
MARRIOTT INTERNATIONAL, INC. POLITICAL ACTION COMMITTEE                                                                                                                            |  485     
Service Corporation International PAC                                                                                                                                              |  485     
MarkforAmerica, Inc.                                                                                                                                                               |  484     
MICHAEL BAKER CORPORATION POLITICAL ACTION COMMITTEE (BAKER PAC)                                                                                                                   |  483     
CGI Technologies and Solutions Inc. PAC                                                                                                                                            |  481     
Facebook Inc. PAC                                                                                                                                                                  |  481     
PIPEFITTERS LOCAL #533 VOLUNTEER POLITICAL FUND                                                                                                                                    |  481     
Public Service Enterprise Group Inc. Political Action Committee (PEGPAC)                                                                                                           |  481     
AGL RESOURCES INC. POLITICAL ACTION COMMITTEE, INC. (AGL PAC)                                                                                                                      |  480     
STACEY LAWSON FOR CONGRESS                                                                                                                                                         |  479     
Great Lakes PAC                                                                                                                                                                    |  478     
DARCY BURNER FOR CONGRESS                                                                                                                                                          |  477     
IKAIKA FOR HAWAII                                                                                                                                                                  |  477     
OGE Energy Corp Employees PAC                                                                                                                                                      |  477     
Vote Heidi Hall                                                                                                                                                                    |  477     
FIRST CITIZENS BANCSHARES INC POLITICAL ACTION COMMITTEE (FIRST CITIZENS BANCSHARES PAC)                                                                                           |  476     
Our Voice PAC                                                                                                                                                                      |  476     
BlackRock Capital Management Inc. Political Action Committee                                                                                                                       |  475     
Katko for Congress                                                                                                                                                                 |  475     
WESTROCK POLITICAL ACTION COMMITTEE                                                                                                                                                |  475     
American Pharmacists Association Political Action Committee                                                                                                                        |  474     
CITIZENS FOR ROTHFUS INC.                                                                                                                                                          |  474     
Prudential Financial, Inc. State & Federal Political Action Committee (AKA Prudential State & Federal PAC)                                                                         |  474     
Committee to Elect Curtis Bostic                                                                                                                                                   |  473     
American Principles                                                                                                                                                                |  472     
CARGAS FOR CONGRESS                                                                                                                                                                |  472     
GARY JOHNSON 2012 INC                                                                                                                                                              |  471     
Womens Campaign Fund PAC (WCF PAC)                                                                                                                                                 |  470     
Erie Indemnity Company PAC - Federal                                                                                                                                               |  468     
KidsPAC                                                                                                                                                                            |  468     
National Retail Federation RetailPAC                                                                                                                                               |  468     
EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE (EWPAC)                                                                                                                            |  467     
RUDY HOBBS FOR CONGRESS                                                                                                                                                            |  467     
WPX Energy, Inc. Political Action Committee                                                                                                                                        |  467     
AT&T Inc. Ohio Employee Political Action Committee                                                                                                                                 |  466     
Conservative Opportunities for a New America PAC                                                                                                                                   |  466     
Ritchie for Congress                                                                                                                                                               |  466     
American Society of Plastic Surgeons PLASTYPAC                                                                                                                                     |  465     
Covidien Holdings Inc.Political Action Committee                                                                                                                                   |  465     
Narragansett Bay PAC                                                                                                                                                               |  465     
Associations Inc. PAC/Associa PAC                                                                                                                                                  |  464     
HMS Holdings Corp. Political Action Committee (HMS PAC)                                                                                                                            |  464     
AMERICAN SOYBEAN ASSOCIATION PAC (SOYPAC)                                                                                                                                          |  463     
80-20 National Asian American PAC                                                                                                                                                  |  462     
Southern California Fund                                                                                                                                                           |  462     
National Pro-Life Alliance PAC                                                                                                                                                     |  460     
TEXAS RIGHT TO LIFE POLITICAL ACTION C                                                                                                                                             |  460     
THE SENATE VICTORY FUND PAC                                                                                                                                                        |  460     
CropLife America POLITICAL ACTION COMMITTEE                                                                                                                                        |  459     
Iowa Medical Society Political Action Committee                                                                                                                                    |  459     
Kelley Drye & Warren Political Action Committee                                                                                                                                    |  459     
MICHEL FAULKNER FOR CONGRESS                                                                                                                                                       |  459     
Friends of Warren Christopher                                                                                                                                                      |  458     
Nossaman LLP Political Action Committee (Nossaman PAC)                                                                                                                             |  458     
Western Sugar Cooperative PAC                                                                                                                                                      |  458     
Environmental Defense Action Fund PAC                                                                                                                                              |  457     
Great Land PAC                                                                                                                                                                     |  457     
MillerCoors LLC PAC                                                                                                                                                                |  457     
WENDYROGERS.ORG                                                                                                                                                                    |  456     
Friends of Kerith                                                                                                                                                                  |  455     
HOUSTON FIRE FIGHTERS POLITICAL ACTION FUND, INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS                                                                                            |  455     
National Propane Gas Association Political Action Committee                                                                                                                        |  455     
Nutmeg PAC                                                                                                                                                                         |  455     
Elizabeth Emken for Congress                                                                                                                                                       |  454     
Womens Political Committee Federal                                                                                                                                                 |  454     
National Association of Chemical Distributors Responsible Distribution Political Action Co                                                                                         |  453     
STEPTOE AND JOHNSON LLP POLITICAL ACTION COMMITTEE                                                                                                                                 |  453     
BECKER FOR CONGRESS                                                                                                                                                                |  451     
Philips Electronics North America Corporation Employees Political Action Committee                                                                                                 |  451     
DEMOCRATIC WOMEN OF THE DESERT                                                                                                                                                     |  450     
Friends of Eric Stewart                                                                                                                                                            |  450     
Shelley Adler for Congress                                                                                                                                                         |  450     
The Desert Caucus                                                                                                                                                                  |  450     
National Organization for Women PAC                                                                                                                                                |  449     
Visa, Inc. Political Action Committee                                                                                                                                              |  449     
PLACER COUNTY DEMOCRATIC CENTRAL COMMITTEE                                                                                                                                         |  448     
Mary Rose Wilcox For Congress                                                                                                                                                      |  447     
Nationwide Mutual Insurance Company Financial & Investments Political Action Committee                                                                                             |  447     
WASHTENAW COUNTY DEMOCRATIC - FEDERAL ACCOUNT                                                                                                                                      |  447     
Airbus Group, Inc. PAC                                                                                                                                                             |  446     
Blue Hen PAC                                                                                                                                                                       |  446     
CARGILL, INCORPORATED POLITICAL ACTION COMMITTEE                                                                                                                                   |  446     
Elect April Freeman                                                                                                                                                                |  446     
Hold The Center PAC                                                                                                                                                                |  446     
Kelly PAC                                                                                                                                                                          |  446     
PERSON TO PERSON PAC                                                                                                                                                               |  446     
Kentuckians For Strong Leadership                                                                                                                                                  |  445     
Marilinda Garcia for Congress                                                                                                                                                      |  445     
Eloise Gomez Reyes for Congress                                                                                                                                                    |  444     
Hayden Rogers for Congress                                                                                                                                                         |  444     
M-PAC                                                                                                                                                                              |  444     
RED WHITE AND BLUE FUND                                                                                                                                                            |  444     
Thrivent Financial for Lutherans Employee Political Action Committee                                                                                                               |  444     
David Schapira for Congress                                                                                                                                                        |  443     
Southwest Airlines Co. Freedom Fund                                                                                                                                                |  442     
The Doctors Company Federal PAC (DOCPAC)                                                                                                                                           |  442     
DCI PAC                                                                                                                                                                            |  441     
Carr for Congress                                                                                                                                                                  |  440     
Chamber of Commerce of the United States of America PAC (US Chamber PAC)                                                                                                           |  440     
Foley & Lardner Political Fund, Inc.                                                                                                                                               |  438     
Trivedi for Congress                                                                                                                                                               |  438     
KBR, Inc. PAC                                                                                                                                                                      |  437     
Lead Your Nation Now PAC (LYNN PAC)                                                                                                                                                |  437     
NORTH CAROLINA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                      |  437     
THE LINCOLN CLUB OF ORANGE COUNTY FEDERAL PAC                                                                                                                                      |  437     
International Longshore and Warehouse Union -- Political Action Fund                                                                                                               |  436     
MAKING BUSINESS EXCEL POLITICAL ACTION COMMITTEE                                                                                                                                   |  436     
NATIONAL THOROUGHBRED RACING ASSOCIATION POLITICAL ACTION COMMITTEE/HORSE PAC                                                                                                      |  436     
Blue Cross Voice The Political Action Committee of Blue Cross of Northeastern Pennsylvania                                                                                         |  435     
Elliott for Congress                                                                                                                                                               |  435     
AMERICAN SUGARBEET GROWERS ASSOCIATION PAC                                                                                                                                         |  434     
Marys Political Action Committee                                                                                                                                                   |  434     
MANN FOR CONGRESS                                                                                                                                                                  |  433     
Mitchum for Congress                                                                                                                                                               |  433     
ALAMEDA COUNTY DEMOCRATIC CENTRAL COMMITTEE                                                                                                                                        |  431     
Friends of Carl Domino                                                                                                                                                             |  431     
Mid-Atlantic Laborers Political League - Laborers International Union of N.A.                                                                                                      |  431     
United Egg Association EGGPAC                                                                                                                                                      |  431     
AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION PAC (ASHA PAC)                                                                                                                        |  430     
Charter Communications Inc. Political Action Committee                                                                                                                             |  430     
OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE                                                                                                     |  429     
PAT HERRITY FOR CONGRESS                                                                                                                                                           |  427     
Freedom Partners Action Fund, Inc.                                                                                                                                                 |  426     
Kutak Rock LLP Political Action Committee                                                                                                                                          |  426     
Olson for Oklahoma                                                                                                                                                                 |  426     
David Schweikert For Congress                                                                                                                                                      |  425     
LPL Financial LLC Political Action Committee (LPL PAC)                                                                                                                             |  425     
National Ready Mixed Concrete Assn. PAC (CONCRETEPAC)                                                                                                                              |  425     
New Prosperity Foundation; The                                                                                                                                                     |  425     
RESPONSIBLE GOVERNMENT COMMITTEE OF GULF POWER COMPANY EMPLOYEES INC                                                                                                               |  425     
THOROUGHBRED PAC                                                                                                                                                                   |  424     
Committee for Leadership and Progress                                                                                                                                              |  423     
EastmanPAC-Political Action Committee of Eastman Chemical Company                                                                                                                  |  423     
Orbital ATK Inc. Legacy Political Action Committee                                                                                                                                 |  423     
Santorum for President 2016                                                                                                                                                        |  423     
Democratic Action Center of the South Bay                                                                                                                                          |  422     
Mr. Southern Missourian In The House PAC                                                                                                                                           |  422     
SAM SUTTER FOR CONGRESS                                                                                                                                                            |  422     
Sheet Metal And Air Conditioning Contractors Political Action Committee                                                                                                            |  422     
AMERICAN PETROLEUM INSTITUTE POLITICAL ACTION COMMITTEE (API PAC)                                                                                                                  |  421     
Committee to Elect Vance McAllister                                                                                                                                                |  421     
JEWISH COUNCIL FOR EDUCATION AND RESEARCH                                                                                                                                          |  421     
Jones Walker L.L.P.                                                                                                                                                                |  421     
SINNER FOR CONGRESS                                                                                                                                                                |  421     
Butte County Republican Party (Fed. Account C00322768 )                                                                                                                            |  420     
Darrell Issa Victory Fund                                                                                                                                                          |  420     
EchoStar Corporation and DISH Network Corporation PAC (EchoStar DISH Network PAC)                                                                                                  |  420     
Glenn County Republican Party Central Committee (Fed. Acct.)                                                                                                                       |  420     
PLUMBERS LOCAL UNION NO. 24 POLITICAL ACTION COMMITTEE                                                                                                                             |  420     
PPG Industries, Inc. PAC                                                                                                                                                           |  420     
PRECISION METALFORMING ASSOCIATION VOICE OF THE INDUSTRY COMMITTEE (PMAVIC)                                                                                                        |  420     
U S Cellular Political Action Committee                                                                                                                                            |  420     
AMERICAN ASSOCIATION OF ORTHODONTISTS POLITICAL ACTION COMMITTEE                                                                                                                   |  418     
Brady Victory Fund                                                                                                                                                                 |  418     
U.S. Bancorp Federal Political Action Committee                                                                                                                                    |  418     
Charles Schwab Corporation Political Action Committee                                                                                                                              |  417     
Concerned American Voters                                                                                                                                                          |  417     
Williams and Jensen, PLLC Political Action Committee                                                                                                                               |  417     
BENTIVOLIO FOR CONGRESS                                                                                                                                                            |  416     
Rancho Santa Fe Democratic Club                                                                                                                                                    |  416     
Carol Platt for Congress                                                                                                                                                           |  415     
Kirby Corporation Political Action Committee                                                                                                                                       |  415     
MIDLAND COUNTY REPUBLICAN COMMITTEE                                                                                                                                                |  415     
National Marine Manufacturers Association and Marine Retailers Association BOAT Political Action Committee                                                                         |  415     
DGA-PAC THE POLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC.                                                                                                      |  414     
LaVallee for Congress                                                                                                                                                              |  414     
VIDAK FOR CONGRESS                                                                                                                                                                 |  414     
FELICIA HARRIS FOR CONGRESS                                                                                                                                                        |  413     
American Cable Association Inc PAC (ACA PAC)                                                                                                                                       |  412     
Cooperative of American Physicians IE Committee                                                                                                                                    |  411     
Making A Responsible Stand for Households in America  (MARSHA PAC)                                                                                                                 |  411     
COMMITTEE TO STRENGTHEN AMERICA; THE                                                                                                                                               |  410     
Opportunity & Renewal PAC                                                                                                                                                          |  410     
Voice for Freedom                                                                                                                                                                  |  410     
EMERGENT BIOSOLUTIONS INC EMPLOYEES PAC                                                                                                                                            |  409     
Irish American Democrats                                                                                                                                                           |  409     
Solano United-SCDCC Federal Account                                                                                                                                                |  409     
BLUE SHIELD OF CALIFORNIA POLITICAL ACTION COMMITTEE                                                                                                                               |  408     
EQT Corporation PAC                                                                                                                                                                |  408     
GLO for Congress                                                                                                                                                                   |  408     
Health Net, Incorporated Political Action Committee                                                                                                                                |  408     
Capital BluePAC, The Political Action Committee of Capital BlueCross                                                                                                               |  407     
Kilili for Congress                                                                                                                                                                |  407     
ROAD TO FREEDOM POLITICAL ACTION COMMITTEE                                                                                                                                         |  406     
Empire District Electric Company                                                                                                                                                   |  404     
Mylan Inc. Political Action Committee (MYPAC)                                                                                                                                      |  404     
Cobham Holdings Inc Political Action Committee Cobham PAC                                                                                                                          |  403     
Norma Torres for Congress                                                                                                                                                          |  403     
Wine Institute PAC                                                                                                                                                                 |  402     
Home School Legal Defense Association Federal PAC                                                                                                                                  |  401     
Special Operations Speaks PAC - SOS PAC                                                                                                                                            |  400     
Corrections Corporation of America Political Action Committee                                                                                                                      |  399     
HUSCH BLACKWELL POLITICAL ACTION COMMITTEE                                                                                                                                         |  399     
Fearless PAC                                                                                                                                                                       |  398     
Kanuth for Congress                                                                                                                                                                |  398     
LANCMAN FOR CONGRESS                                                                                                                                                               |  398     
Wendy Greuel for Congress                                                                                                                                                          |  398     
Checksmart Financial LLC Political Action Committee                                                                                                                                |  397     
Bakery, Confectionery, Tobacco Workers and Grain Millers International Union PAC                                                                                                   |  396     
Mike Bishop for Congress                                                                                                                                                           |  396     
Pickering for Congress                                                                                                                                                             |  396     
Supporting Conservatives of Today and Tomorrow (SCOTT PAC)                                                                                                                         |  396     
The Goodyear Tire & Rubber Company Good Government Fund (Goodyear Good Government Fund)                                                                                            |  396     
ASSOCIATION OF KENTUCKY FRIED CHICKEN FRANCHISEES INC PAC                                                                                                                          |  395     
