name                                                                                                                                                                               |  rows    
National Air Traffic Controllers Association PAC                                                                                                                                   |  5073    
Brady for Congress                                                                                                                                                                 |  5072    
Tennessee Republican Party Federal Election Account                                                                                                                                |  5066    
Harris County Democratic Party                                                                                                                                                     |  5001    
CULAC the PAC of Credit Union National Association                                                                                                                                 |  4993    
Bachus for Congress Committee                                                                                                                                                      |  4899    
BNSF Railway Company RAILPAC (BNSF RAILPAC)                                                                                                                                        |  4898    
Abbott Laboratories Employee Political Action Committee                                                                                                                            |  4828    
AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)                                                                                                                                         |  4824    
FRIENDS OF HERMAN CAIN INC                                                                                                                                                         |  4818    
REPUBLICAN PARTY OF LOUISIANA                                                                                                                                                      |  4806    
Scott Rigell for Congress                                                                                                                                                          |  4787    
Tim Walz for US Congress                                                                                                                                                           |  4762    
PERRY FOR PRESIDENT INC                                                                                                                                                            |  4741    
Forbes for Congress                                                                                                                                                                |  4710    
Conyers for Congress                                                                                                                                                               |  4705    
RICHARD E NEAL FOR CONGRESS COMMITTEE                                                                                                                                              |  4678    
Duffy for Congress                                                                                                                                                                 |  4661    
Action Committee for Rural Electrification (ACRE) - Natl. Rural Elec. Cooperative  Assn.                                                                                           |  4626    
VOICE OF TEACHERS FOR EDUC/CMTE ON POL EDUC OF NY STATE UNTD TEACHERS (VOTE/COPE) OF NYSUT                                                                                         |  4625    
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB                                                                                                          |  4618    
Perlmutter for Congress                                                                                                                                                            |  4617    
Cathy McMorris Rodgers for Congress                                                                                                                                                |  4616    
TIM RYAN FOR CONGRESS                                                                                                                                                              |  4608    
ILLINOIS REPUBLICAN PARTY                                                                                                                                                          |  4595    
Royce Campaign Committee                                                                                                                                                           |  4584    
Ami Bera for Congress                                                                                                                                                              |  4580    
DOLD FOR CONGRESS                                                                                                                                                                  |  4570    
CSX Corporation Good Government Fund                                                                                                                                               |  4553    
The Congressman Joe Barton Committee                                                                                                                                               |  4553    
Pallone for Congress                                                                                                                                                               |  4546    
Mississippi Republican Party                                                                                                                                                       |  4530    
Upton for All of Us                                                                                                                                                                |  4511    
Conservative Campaign Committee                                                                                                                                                    |  4460    
FedEx Corporation Political Action Committee (FedExPAC)                                                                                                                            |  4460    
Volunteers for Shimkus                                                                                                                                                             |  4450    
ARIZONA REPUBLICAN PARTY                                                                                                                                                           |  4448    
Friends of Jeb Hensarling                                                                                                                                                          |  4445    
Progressives United Political Action Committee                                                                                                                                     |  4443    
Kuster for Congress, Inc                                                                                                                                                           |  4435    
Olson for Congress Committee                                                                                                                                                       |  4423    
Americans for Responsible Solutions-PAC                                                                                                                                            |  4411    
Republican Campaign Committee Of New Mexico                                                                                                                                        |  4409    
Roskam for Congress Committee                                                                                                                                                      |  4407    
Schock for Congress                                                                                                                                                                |  4384    
2012 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC                                                                                                                                  |  4377    
Newt 2012                                                                                                                                                                          |  4352    
Joe Kennedy for Congress                                                                                                                                                           |  4350    
Neugebauer Congressional Committee                                                                                                                                                 |  4340    
TIM BISHOP FOR CONGRESS                                                                                                                                                            |  4333    
Marsha Blackburn for Congress, Inc.                                                                                                                                                |  4321    
Koch Industries, Inc. Political Action Committee (KOCHPAC)                                                                                                                         |  4297    
Maloney for Congress                                                                                                                                                               |  4292    
Walberg for Congress                                                                                                                                                               |  4289    
CONCERNED WOMEN FOR AMERICA LEGISLATIVE ACTION COMMITTEE POLITICAL ACTION COMMITTEE                                                                                                |  4284    
Entergy Corporation Political Action Committee (ENPAC)                                                                                                                             |  4261    
Tiberi for Congress                                                                                                                                                                |  4258    
Automotive Free International Trade PAC                                                                                                                                            |  4251    
Scalise For Congress                                                                                                                                                               |  4245    
Texans for Henry Cuellar Congressional Campaign                                                                                                                                    |  4245    
